id,symbol,headline,summary,date_time
11,AAPL,Docomo Buyout Shows Dumb Pipes No Longer Cut It,"(Bloomberg Opinion) -- Nippon Telegraph & Telephone Corp.’s plan to buy out its NTT Docomo Inc. wireless unit would mark the end of an era for a company once hailed as the world’s leading mobile operator. It also signals a stark new reality in the telco business: that mere connectivity isn’t enough.Docomo said its board will meet Tuesday to consider NTT’s proposal. That seems moot: The parent already owns 66% of the subsidiary. It’s likely to offer 30% more than the share price at yesterday’s close, the Nikkei newspaper reported earlier. That would be at the upper end of average premiums globally for telco deals valued at more than $5 billion in the past five years, according to data compiled by Bloomberg. Still, it’s worth noting that pr...
",9/28/2020 22:27
12,AAPL,4 Underrated Tech Stocks,"In this episode of Industry Focus: Tech, Dylan Lewis and Motley Fool contributor Brian Feroldi discuss four great tech stocks you can get for cheap.  To catch full episodes of all The Motley Fool's free podcasts, check out our podcast center.
",9/28/2020 21:22
13,AAPL,Judge Recommends Jury Trial in Epic vs. Apple Fight,"Sep.28 -- The federal judge overseeing Epic Games Inc.’s antitrust lawsuit against Apple Inc. said a jury trial might be a better option to resolve the case. Laura Martin, analyst at Needham & Co., discusses the case on &quot;Bloomberg Technology.&quot;
",9/28/2020 17:45
14,AAPL,"Apple Inc. stock rises Monday, outperforms market","COMPANY CLOSE UPDATES  Terrence Horan Shares of Apple Inc. AAPL rallied 2.39% to $114.96 Monday, on what proved to be an all-around favorable trading session for the stock market, with the NASDAQ Composite Index COMP rising 1.
",9/28/2020 16:52
15,AAPL,Dow Jones Leads Major Indexes As Bulls Charge; These Breakouts Flourish,"The Dow Jones led the major indexes as a bull charge continued. Apple stock also rallied, while a number of breakouts were flourishing.
",9/28/2020 15:25
16,AAPL,"U.S. judge urges Apple, Epic Games to put antitrust claims before jury","A federal judge in California on Monday urged Apple Inc and ""Fortnite"" creator Epic Games to take their antitrust dispute before a jury, saying the higher courts would be less likely to overturn the result.  “I know I'm just a stepping stone for all of you,” District Judge Yvonne Gonzalez Rogers said during a virtual hearing from Oakland, California.  Epic Games sued Apple in August, alleging the iPhone maker's 30% commission on purchases made through Apple's App Store was anticompetitive.
",9/28/2020 14:43
17,AAPL,Why Apple's Rumored Mini iPhone Could Be a Masterstroke,"The iPhone maker could have a winner in its upcoming smartphone portfolio if this rumor turns out to be true.
",9/28/2020 14:21
18,AAPL,Google to Make It Easier to Use More App Stores on Android,"(Bloomberg) -- Alphabet Inc.’s Google is updating its Android software, which powers most of the world’s smartphones, to make it easier for consumers to use other app stores.The move comes after Epic Games Inc. pulled its popular Fortnite game from Google and Apple Inc.’s app stores to protest what is said are high fees and restrictive rules for developers.Google said in a Monday blog post that next year’s version of the operating system -- Android 12 -- will “make it even easier for people to use other app stores on their devices,” although the company didn’t elaborate.The blog post also clarified that Google will tighten requirements that purchases within apps downloaded from Google’s store must use the company’s billing system.For more...
",9/28/2020 13:04
19,AAPL,"Dow Jones Surges 500 Points, As Apple, Tesla Jump; Virgin Galactic Rockets 20% On Buy Ratings","The major stock indexes were sharply higher early Monday, as the stock market rally attempt continues. Apple and Tesla raced higher.
",9/28/2020 10:28
20,AAPL,Where Will Apple Be in 1 Year?,"Lately, it appears some investors don't know what to do with Apple (NASDAQ: AAPL).  Apple consistently outpaces its competitors in the wearables market, and its latest Apple Watch updates should easily help the company retain that position over the next year and beyond.
",9/28/2020 8:00
21,AAPL,Three top Apple suppliers to commit $900 million to India smartphone incentive plan: sources,"Three of Apple Inc's top contract manufacturers plan to invest a total of almost $900 million in India in the next five years to tap into a new production-linked incentive plan, according to two sources familiar with the matter.  Foxconn, Wistron and Pegatron all plan to make investments under the scheme, said the sources, who asked not to be named as the discussions are private.  India's new $6.65 billion production-linked incentive (PLI) scheme offers companies cash incentives on any increase in sales of locally-made smartphones over the next five years, compared with 2019-20 levels.
",9/28/2020 7:56
22,AAPL,Dow Jones Futures Jump As Stock Market Looks To Confirm New Rally,"A stock market rally attempt is underway, but game plan for bearish or bullish action. Alibaba, Nvidia and Target are stocks to watch.
",9/28/2020 7:42
23,AAPL,Trump Ban on TikTok Is Temporarily Blocked by Federal Judge,"(Bloomberg) -- President Donald Trump’s ban on TikTok was temporarily blocked by a federal judge, dealing a blow to the government in its showdown with the popular Chinese-owned app that it says threatens national security.After an unusual Sunday morning hearing, U.S. District Judge Carl Nichols granted a preliminary injunction against the ban on new downloads of the video-sharing network, which would have gone into effect at 11:59 p.m. in Washington. The judge declined to grant an injunction on a separate set of prohibitions scheduled for Nov. 12 that are designed to further curb the app’s use in the U.S.TikTok’s owner, ByteDance Ltd., requested the hold after the president ordered the app out of American stores unless the company sold a...
",9/27/2020 22:00
24,AAPL,Judge temporarily blocks U.S. ban on TikTok downloads from U.S. app stores,"A U.S. judge in Washington has temporarily blocked a Trump administration order banning Apple Inc and Alphabet Inc's Google from offering Chinese-owned short video-sharing app TikTok for download that was set to take effect at 11:59 p.m. Sunday.  U.S. District Judge Carl Nichols granted a preliminary injunction sought by TikTok owner ByteDance to allow the app to remain available at U.S. app stores, but declined ""at this time"" to block additional Commerce Department restrictions that are set to take effect on Nov. 12 that TikTok has said would have the impact of making the app impossible to use in the United States.
",9/27/2020 20:13
25,AAPL,Better Buy: Activision Blizzard vs. Apple,"While Activision Blizzard makes some of the most popular games in interactive entertainment, Apple is one of the most valuable brands in the world, with a massive user base that is increasingly spending money on apps and other services.  One thing Activision Blizzard has in common with Apple is that it is focused on turning its product (games) into a service, much like Apple is pushing the people who own its devices to spend money on subscription services.  For Activision, the benefit of this strategy is less dependence on releasing a new game and hoping that it will be a hit.
",9/27/2020 14:30
26,AAPL,This Apple Supplier Deserves to Be on Your Watchlist,"Jabil's (NYSE: JBL) stock recently rose after the electronics manufacturing company's fourth-quarter numbers beat Wall Street's expectations.  For the first quarter, Jabil expects its revenue to decline by 3% to 11% year-over-year, compared to expectations for a 3% drop.  Jabil splits its business into two segments.
",9/27/2020 8:45
27,AAPL,Facebook Wants to Be Your Default iPhone Messaging Service,"One potential antitrust violator is pushing for another potential antitrust violator to make a concession on an antitrust issue so that it can become even stronger and exacerbate its own antitrust concerns.
",9/26/2020 13:00
28,AAPL,"Dow Jones Futures: Stock Market Rally, These Leaders Show Bullish Action; How To Game Plan For A Key Week","A stock market rally attempt is underway, but game plan for bearish or bullish action. Alibaba, Nvidia and Target are stocks to watch.
",9/26/2020 11:20
29,AAPL,3 Cash-Cow Stocks to Buy Ahead of the Next Market Crash,"If the market crashes, you're going to a want a soft landing. That's why cash is king in these all-star stocks.
",9/26/2020 7:55
30,AAPL,Why Rival Bike Peddlers Could Help Boost Peloton’s Stock,"The Echelon-Amazon episode highlights what Peloton has going for it: execution, brand awareness, and premium technology leadership—and why investors have been willing to award it a nosebleed multiple.
",9/25/2020 20:05
31,AAPL,What Correction? S&P 500 Surges as Apple Leads Tech Stock Boom and Cruise Stocks Rise; Oil Stocks Fall,"One analyst says it's time to buy cruise stocks, and a bunch of investors are already there on Big Tech.
",9/25/2020 19:58
32,AAPL,"Apple Decides to Waive 30% Cut of Paid Events on Facebook, but Only for 3 Months","After weeks of verbal back-and-forth, Apple (NASDAQ: AAPL) has agreed to waive its 30% take of paid events hosted on Facebook (NASDAQ: FB).  In an effort to help businesses adapt to the times, Facebook had already said it wouldn't charge its own fees until the summer of 2021.  Apple's decision comes with some caveats, though.
",9/25/2020 17:14
33,AAPL,Unity Stock Gets Its First Buy Rating From Wall Street,"For a freshly public company, Unity has an enviable stock chart.  Friday, Wall Street began to weigh in on the maker of tools for creating videogames.  D.A. Davidson analyst Franco Granda initiated coverage with a Buy rating and a target of $100 for Unity stock (ticker: U).
",9/25/2020 16:37
34,AAPL,Apple Inc. stock outperforms competitors on strong trading day,"COMPANY CLOSE UPDATES  Terrence Horan Shares of Apple Inc. AAPL advanced 3.76% to $112.29 Friday, on what proved to be an all-around positive trading session for the stock market, with the NASDAQ Composite Index COMP rising 2.
",9/25/2020 16:25
35,AAPL,"Boeing, Apple Inc. share gains contribute to Dow's 330-point rally","DOW UPDATE Shares of Boeing and Apple Inc. are posting positive momentum Friday afternoon, propelling the Dow Jones Industrial Average rally. The Dow (DJIA) is trading 330 points, or 1.2%, higher, as shares of Boeing (BA) and Apple Inc.
",9/25/2020 15:03
36,AAPL,"Dow's 214-point climb led by gains for Boeing, Apple Inc. shares","Buoyed by positive growth for shares of Boeing and Apple Inc., the Dow Jones Industrial Average is climbing Friday afternoon.  The Dow  (DJIA) is trading 214 points (0.8%) higher, as shares of Boeing  (BA) and Apple Inc.  (AAPL) are contributing around a quarter of the index&#39;s intraday rally.  Boeing&#39;s shares are up $6.05 (4.1%) while those of Apple Inc. are up $3.06, or 2.8%, combining for a roughly 60-point boost for the Dow.
",9/25/2020 14:03
37,AAPL,"Boeing, Apple Inc. share gains contribute to Dow's 133-point jump","DOW UPDATE Shares of Boeing and Apple Inc. are posting strong returns Friday afternoon, lifting the Dow Jones Industrial Average into positive territory. Shares of Boeing (BA) and Apple Inc. (AAPL) have contributed to the index&apos;s intraday rally, as the Dow (DJIA) was most recently trading 133 points (0.
",9/25/2020 13:03
38,AAPL,"Buy Apple Stock Ahead of the iPhone 12 Launch, Morgan Stanley Says","The recent pullback in Apple stock is “a constructive setup heading into the iPhone 12 launch,” writes analyst Katy Huberty. Fundamental data points “remain strong,” she adds.
",9/25/2020 12:53
39,AAPL,Dow Jones Rallies as Apple Stock Touted by Analyst; Light at the End of the Tunnel for Boeing on the 737 MAX,"An analyst recommends buying the dip in Apple stock, and a EU regulator sees the 737 MAX flying this year.
",9/25/2020 12:40
40,AAPL,Facebook events service gets temporary exemption from Apple App Store fees: blog post,"Facebook Inc said on Friday that businesses running paid online events on its iOS app would not need to pay a 30% fee to Apple for the remainder of 2020, temporarily defusing a standoff between the two tech giants. The social media company said in a blog post that all businesses except gaming creators would be eligible for Apple's fee exemption and can process payments for the online events they run through Facebook Pay. &quot;Apple has agreed to provide a brief, three-month respite after which struggling businesses will have to, yet again, pay Apple the full 30% App Store tax,&quot; Facebook company spokesman Joe Osborne said in a statement.
",9/25/2020 12:08
41,AAPL,"Apple Temporarily Waives 30% Fee for Facebook Paid Live Events, but Not for Facebook Gaming App","In an unusual move, Apple has agreed to not collect the App Store's 30% &quot;tax&quot; on purchases made through Facebook's app for live paid events — but only through the end of 2020. Moreover, Apple will still take a 30% cut of paid livestreams from creators using the Facebook Gaming app. The ongoing clash of […]
",9/25/2020 12:00
42,AAPL,Apple to Let Facebook Online Events Temporarily Avoid 30% Cut,"(Bloomberg) -- Apple Inc. will let users of Facebook Inc.’s online events product use the social network’s own payment method through the end of the year, temporarily bypassing the iPhone maker’s typical 30% cut.The Cupertino, California-based technology giant said it is making the exception as some businesses were forced to move their physical events online due to the Covid-19 pandemic. App Store apps that facilitate in-person classes or events have always been allowed to accept payment methods other than Apple’s, bypassing the fee. But once businesses moved online, almost all classes became virtual and were no longer exempt from Apple’s 30% cut.Apple said that after the reprieve through the end of 2020, Facebook will be required to impl...
",9/25/2020 12:00
43,AAPL,"Dow Jones Erases Losses, As Apple, Tesla Advance; Novavax Surges 14% On Coronavirus Vaccine News","The major stock indexes were higher Friday, as Apple and Tesla advanced. Novavax soared on a coronavirus vaccine deal.
",9/25/2020 10:50
44,AAPL,"Boeing, Apple Inc. share gains contribute to Dow's 60-point jump","DOW UPDATE Powered by positive growth for shares of Boeing and Apple Inc., the Dow Jones Industrial Average is trading up Friday morning. The Dow (DJIA) is trading 60 points (0.2%) higher, as shares of Boeing (BA) and Apple Inc.
",9/25/2020 10:47
45,AAPL,Google to Increase Push for Apps to Give Cut of In-App Purchases,"(Bloomberg) -- Google plans to push harder for developers to give the company a cut of in-app purchases through its Play app store, according to people with knowledge of the move.The Alphabet Inc. unit plans to issue updated guidelines as early as next week that clarify a requirement for most apps to use Google’s billing service for in-app content downloads, game upgrades and subscriptions. This system gives the company a 30% cut of purchases inside of apps on Android.While this requirement has existed for years, some major developers including Netflix Inc., Spotify Technology SA, Match Group Inc. and Epic Games Inc., have circumvented the rule. Netflix and Spotify apps prompt consumers to pay using a credit card, rather than their Play a...
",9/25/2020 9:45
46,AAPL,Stock Market Today 9/24/20: Tech Props up a Tepid Market,"A roller coaster session managed to finish in positive territory thanks to some big-name tech stocks.
",9/24/2020 17:25
47,AAPL,"Amazon Chases Google, Microsoft Into the Game-Streaming Market","(Bloomberg) -- Amazon.com Inc. is diving into the new and hotly contested market for streaming video games, the company said during a press event Thursday that also revealed a refreshed lineup of Echo smart speakers and a flying home video camera.Luna, a service that lets gamers play without shelling out for expensive game consoles or games, is Amazon’s biggest foray yet into the fast-growing $150 billion video gaming market. A subscription to the Luna+ channel costs $5.99 a month during an introductory period and will include games such as Resident Evil 7, Control and Panzer Dragoon.The offering, available at first to invited testers, will go head to head with rival services launched in recent years by the likes of Alphabet Inc.’s Google...
",9/24/2020 15:16
48,AAPL,"Dow's 129-point jump highlighted by gains for shares of Goldman Sachs, Coca-Cola","DOW UPDATE Led by positive momentum for shares of Goldman Sachs and Coca-Cola, the Dow Jones Industrial Average is climbing Thursday afternoon. The Dow (DJIA) is trading 129 points higher (0.5%), as shares of Goldman Sachs (GS) and Coca-Cola (KO) have contributed around a quarter of the blue-chip gauge&apos;s intraday rally.
",9/24/2020 14:49
49,AAPL,GRAPHIC-'Healthy correction' or something more? Stock swings keep investors on edge,"A barrage of worrisome news is rocking the U.S. stock market after a nearly six-month surge, leading some investors to question whether the recent selloff in equities heralds a longer period of volatility.  The S&P 500 index was on the verge of a correction, defined as a 10% drop from its all-time closing high, after ending 9.6% below its Sept. 2 record on Wednesday.  The rapid selloff has occurred amid fading hopes of further coronavirus-related fiscal stimulus from Congress, looming political uncertainty over the U.S. presidential election and fears of a COVID-19 resurgence in the fall.
",9/24/2020 13:57
50,AAPL,"Goldman Sachs, Apple Inc. share gains lead Dow's 286-point rally","DOW UPDATE The Dow Jones Industrial Average is rallying Thursday afternoon with shares of Goldman Sachs and Apple Inc. seeing positive growth for the blue-chip average. Shares of Goldman Sachs (GS) and Apple Inc.
",9/24/2020 13:49
51,AAPL,"Spotify, Match, Others Organize to Press for Changes to Apple’s App Store","The software companies have established an advocacy group, seeking legal and regulatory changes to preserve a level playing field for app and game developers.
",9/24/2020 13:40
52,AAPL,Judge says U.S. must defend or delay TikTok app store ban by Friday,"A U.S. judge said Thursday the Trump administration must either delay a ban on U.S. app stores offering TikTok for download or file legal papers defending the decision by Friday.
",9/24/2020 13:23
53,AAPL,US STOCKS-Tech stocks lift Wall Street as economic rebound slows,"Wall Street climbed in choppy trading on Thursday, with investors returning to the perceived safety of technology-related stocks as a surprise rise in weekly jobless claims signaled a slowdown in economic growth.  Nine of the 11 major S&P indexes were trading higher, with information technology leading gains.  Apple Inc, Amazon.com Inc, Netflix Inc , Nvidia Corp and Facebook Inc, which have outperformed at a time of increased economic uncertainty, rose between 0.5% and 2.7%.
",9/24/2020 13:02
54,AAPL,"Dow jumps 100 points on gains in Goldman Sachs, Apple Inc. stocks","DOW UPDATE Shares of Goldman Sachs and Apple Inc. are posting positive momentum Thursday afternoon, propelling the Dow Jones Industrial Average into positive territory. Shares of Goldman Sachs (GS) and Apple Inc.
",9/24/2020 12:49
55,AAPL,"Goldman Sachs, Apple Inc. share gains lead Dow's 30-point jump","DOW UPDATE Shares of Goldman Sachs and Apple Inc. are trading higher Thursday morning, lifting the Dow Jones Industrial Average into positive territory. Shares of Goldman Sachs (GS) and Apple Inc. (AAPL) have contributed about a quarter of the blue-chip gauge&apos;s intraday rally, as the Dow (DJIA) is trading 30 points (0.
",9/24/2020 11:46
56,AAPL,US STOCKS-Nasdaq rises on tech boost as economic recovery cools,"The Nasdaq led gains on Wall Street on Thursday as investors returned to the perceived safety of technology-related stocks with a surprise rise in weekly jobless claims signaling a slowdown in economic growth.  Seven of the 11 major S&P indexes were trading higher, with information technology leading gainers.  Apple Inc, Amazon.com Inc, Netflix Inc , Nvidia Corp and Facebook Inc, which have outperformed at a time of increased economic uncertainty and are now trading at lofty valuations, rose between 0.3% and 2.3%.
",9/24/2020 11:44
57,AAPL,"Spotify, Hollywood producer Chernin to adapt podcast shows for films, TV","Spotify Technology SA has signed a deal with Hollywood production house Chernin Entertainment to adapt the music streaming firm's podcast shows for films and television and sell them to other outlets, the companies said on Thursday.  The deal would unite Spotify, which has more than 1.5 million podcast titles, with media mogul Rupert Murdoch's former right-hand man and Chernin Entertainment founder Peter Chernin.  The Swedish music streaming service already has a foothold in the film and TV space with its podcast series ""Homecoming"" having been adapted for a web series on Amazon.com Inc's Prime Video.
",9/24/2020 10:57
58,AAPL,"Spotify, Match Join a Challenge to Apple's App Store Practices","Epic Games' fight with Apple has inspired a growing group of developers that seek legal and regulatory limits on the tech giant's control.
",9/24/2020 10:46
59,AAPL,"Dow Jones Falls 225 Points, Before Rebounds Rally; Apple, Tesla Volatile, While Nikola Plummets 23% On Downgrade","The major stock indexes erased sharp losses Thursday, as the stock market sell-off continued. Tesla rival Nikola plunged 23%.
",9/24/2020 10:20
60,AAPL,Is the Market Crashing? 4 Stocks You Can Buy Right Now,"Some of 2020's hottest stocks have fallen by more than 22% since hitting all-time highs earlier this month. They are prime candidates to bounce back.
",9/24/2020 10:00
61,AAPL,Apple critics form coalition to challenge App Store fees,"A group of Apple Inc's  critics - including Spotify Technoloy SA, Match Group Inc and ""Fortnite"" creator Epic Games - have joined a nonprofit group that plans to advocate for legal and regulatory action to challenge the iPhone maker's App Store practices.  Apple charges a commission of between 15%-30% for apps that use its in-app payment system and sets out extensive rules that apps must comply with to appear in its App Store, which is the only way Apple allows consumers to download native apps onto devices such as the iPhone.  The Coalition for App Fairness, structured as a nonprofit based in Washington, D.C. and Brussels, said it plans to advocate legal changes that would force Apple to change.
",9/24/2020 8:02
62,AAPL,US STOCKS-Futures muted ahead of jobless claims as economic recovery slows,"U.S. stock index futures were subdued on Thursday as investors braced for another staggering weekly jobless claims figure, the latest evidence of a slowing economic recovery from a pandemic-led recession.
",9/24/2020 7:08
63,AAPL,The FAANG Stock News You Completely Missed Last Month,"The unprecedented coronavirus disease 2019 (COVID-19) pandemic has created meteoric plunges and rises in the market; it even sent the CBOE Volatility Index to its highest reading in history in March.  You might be under the impression that Wall Street and retail investors have been buying into the FAANG stocks hand over fist in 2020.
",9/24/2020 6:06
64,AAPL,'We're a tech company': Russia's Sberbank bets big on strategy shift,"Sberbank, Russia's dominant lender, is planning one of the biggest reinventions in its 179-year history as it seeks to join the likes of Apple and Google in the global pantheon of Big Tech.  Sberbank's Chief Technology Officer David Rafalovsky also said in an interview that it was launching ""SmartMarket"", an equivalent to Apple's AppStore or Google Play.  The Russian government owns a stake of 50% plus one share in Sberbank, the country's oldest lender with assets of $401 billion as of August and a market value of about $67 billion.
",9/24/2020 4:02
65,AAPL,FOCUS-'We're a tech company': Russia's Sberbank bets big on strategy shift,"Sberbank, Russia's dominant lender, is planning one of the biggest reinventions in its 179-year history as it seeks to join the likes of Apple and Google in the global pantheon of Big Tech.  Sberbank's Chief Technology Officer David Rafalovsky also said in an interview that it was launching ""SmartMarket"", an equivalent to Apple's AppStore or Google Play.
",9/24/2020 3:59
66,AAPL,"Caught in China-US trade war, Taiwan offers support to chipmakers","Taiwan President Tsai Ing-wen promised on Thursday to help the island's key semiconductor industry overcome difficulties and consolidate its leading position, offering support to a sector increasingly caught up in China-U.S. trade tensions.  Companies such as the world's biggest contract chipmaker, Taiwan Semiconductor Manufacturing Co Ltd, are major suppliers to the likes of Apple Inc and Qualcomm Inc , as well as Chinese firms like Huawei Technologies Co Ltd.  In July, TSMC said it had stopped taking new orders from Huawei in May and did not plan to ship wafers after Sept. 15, responding to U.S. curbs on supplying the Chinese company, which the Trump administration views as a security threat.
",9/24/2020 1:06
67,AAPL,COVID-19 smartphone app finally launches in England and Wales,"England and Wales launch a COVID-19 smartphone app on Thursday, allowing users to trace contacts, check the local level of risk and record visits to venues such as pubs, four months after the technology was promised to the public.  The government had said a COVID-19 app would arrive in May, but early trials were dogged by problems, and developers abandoned home-grown technology in favour of Apple and Google's model in June.  As the delay lengthened, the government downplayed the importance of smartphones in fighting COVID-19, saying that rather than an app being central to the test and trace system, it was ""the cherry on the cake"".
",9/23/2020 19:01
68,AAPL,Why Apple Stock Fell Today,"UBS analyst David Vogt took over coverage of Apple and lowered the investment bank's rating on its stock from buy to neutral.  UBS analyst David Vogt is more bearish on Apple's stock than his predecessor.  Although he raised his firm's price forecast for Apple's stock from $106 to $115, Vogt notes that the shares are currently trading for 29 times his earnings estimate for the year ahead, which is significantly above its historical trading range.
",9/23/2020 18:24
69,AAPL,Barr Remains Wary of Security Concerns in Oracle’s TikTok Deal,"(Bloomberg) -- Attorney General William Barr and other U.S. national security officials haven’t signed off on plans to let Oracle Corp. and Walmart Inc. take a stake in TikTok to avert President Donald Trump’s threat to bar the social network from the U.S., according to a person familiar with the matter.The officials have unresolved concerns about the national security implications of the proposal, as competing camps emerge inside the administration, said the person, who asked not to be identified discussing internal deliberations. Treasury Secretary Steven Mnuchin has led officials supporting the plan.TikTok’s Chinese owner, ByteDance Ltd., faces a deadline this weekend to win approval for a sale of its U.S. operations or face a de facto...
",9/23/2020 18:24
70,AAPL,"Dow Jones Futures: Stock Market Sells Off As Apple, Amazon, AMD Reverse From Key Level; Tesla Plunges After Battery Day","The stock market resumed heavy selling as the Nasdaq and big cap techs hit key resistance and Tesla plunged after Battery Day.
",9/23/2020 16:59
71,AAPL,Apple Stock Really Can’t Go Much Higher. Buy These Tech Stocks Instead.,"An analyst at UBS cautions that while Apple shares typically outperform ahead of an iPhone launch, they have generally underperformed the market after a launch.
",9/23/2020 16:51
72,AAPL,US STOCKS-Wall Street closes lower on fears of a slowing economy,"Wall Street's main indexes fell sharply on Wednesday after data showing a cooling of U.S. business activity and the stalemate in Congress over more fiscal stimulus heightened concerns about the economy while the coronavirus pandemic remains unchecked.  The Nasdaq and S&P 500 fell more than 2%, and all 11 of the major S&P sectors closed lower.  The economy is now leveling off at about 80% of activity before the pandemic and won't get back to normal until a vaccine is in place, said Jason Pride, chief investment officer of private wealth at Glenmede in Philadelphia.
",9/23/2020 16:36
73,AAPL,Apple Inc. stock underperforms Wednesday when compared to competitors,"COMPANY CLOSE UPDATES  Terrence Horan Shares of Apple Inc. AAPL slid 4.19% to $107.12 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the NASDAQ Composite Index COMP falling 3.
",9/23/2020 16:25
74,AAPL,"Salesforce.com Inc., Chevron share losses contribute to Dow's 487-point fall","DOW UPDATE The Dow Jones Industrial Average is in a selloff Wednesday afternoon with shares of Salesforce.com Inc. and Chevron seeing the biggest losses for the blue-chip average. The Dow (DJIA) was most recently trading 487 points, or 1.
",9/23/2020 15:33
75,AAPL,TikTok asks judge to block U.S. from barring app for download,"TikTok asked a U.S. judge on Wednesday to block a Trump administration order that would require Apple Inc and Alphabet Inc's Google to remove the short video-sharing app for new downloads starting Sunday.  A federal judge in San Francisco on Saturday issued a preliminary injunction blocking a similar Commerce Department order from taking effect on Sunday on Tencent Holdings WeChat app.  On Saturday, the department announced a one-week delay in the TikTok order, citing ""recent positive developments"" in talks over the fate of its U.S. operations.
",9/23/2020 14:55
76,AAPL,"US STOCKS-Wall Street retreats as business activity slows, raising fears over economy","Wall Street's main indexes fell on Wednesday after data showing a cooling of U.S. business activity and the stalemate in Congress over more fiscal stimulus heightened fears of a choppy economic recovery from the pandemic-driven recession.  The economy is leveling off at about 80% of activity before the pandemic and won't get back to normal until a vaccine is in place, said Jason Pride, chief investment officer of private wealth at Glenmede in Philadelphia.  Investors are struggling to understand where to invest with mega-cap tech stocks overvalued, but the deep-value stocks represent maturing industries, such as energy and brick-an- mortar banks, he said.
",9/23/2020 14:52
77,AAPL,"Salesforce.com Inc., Chevron share losses lead Dow's 350-point fall","DOW UPDATE Behind declines for shares of Salesforce.com Inc. and Chevron, the Dow Jones Industrial Average is seeing a selloff Wednesday afternoon. The Dow (DJIA) was most recently trading 352 points (1.
",9/23/2020 14:33
78,AAPL,"Dow drops 125 points on losses in Salesforce.com Inc., Chevron stocks","DOW UPDATE Shares of Salesforce.com Inc. and Chevron are trading lower Wednesday afternoon, dragging the Dow Jones Industrial Average into negative territory. The Dow (DJIA) was most recently trading 127 points lower (-0.
",9/23/2020 13:32
